Data,faixaEtaria,quantidade,sexo
2020-03-31,10 a 14 anos,1,Feminino
2020-03-31,10 a 14 anos,1,Masculino
2020-03-31,15 a 19 anos,4,Feminino
2020-03-31,15 a 19 anos,2,Masculino
2020-03-31,20 a 24 anos,17,Feminino
2020-03-31,20 a 24 anos,8,Masculino
2020-03-31,25 a 29 anos,11,Feminino
2020-03-31,25 a 29 anos,17,Masculino
2020-03-31,30 a 34 anos,24,Feminino
2020-03-31,30 a 34 anos,24,Masculino
2020-03-31,35 a 39 anos,32,Feminino
2020-03-31,35 a 39 anos,37,Masculino
2020-03-31,40 a 44 anos,33,Masculino
2020-03-31,40 a 44 anos,23,Feminino
2020-03-31,45 a 49 anos,19,Feminino
2020-03-31,45 a 49 anos,28,Masculino
2020-03-31,50 a 54 anos,15,Feminino
2020-03-31,50 a 54 anos,32,Masculino
2020-03-31,55 a 59 anos,23,Masculino
2020-03-31,55 a 59 anos,20,Feminino
2020-03-31,60 a 64 anos,14,Feminino
2020-03-31,60 a 64 anos,20,Masculino
2020-03-31,65 a 69 anos,10,Feminino
2020-03-31,65 a 69 anos,10,Masculino
2020-03-31,70 a 74 anos,5,Feminino
2020-03-31,70 a 74 anos,9,Masculino
2020-03-31,75 a 79 anos,2,Feminino
2020-03-31,75 a 79 anos,6,Masculino
2020-03-31,80 anos ou mais,8,Feminino
2020-03-31,80 anos ou mais,5,Masculino
2020-03-31,Indefinido,1,Feminino
2020-03-31,Indefinido,2,Masculino
2020-04-01,0 a 4 anos,3,Masculino
2020-04-01,0 a 4 anos,4,Feminino
2020-04-01,5 a 9 anos,2,Masculino
2020-04-01,5 a 9 anos,3,Feminino
2020-04-01,10 a 14 anos,1,Feminino
2020-04-01,10 a 14 anos,1,Masculino
2020-04-01,15 a 19 anos,4,Feminino
2020-04-01,15 a 19 anos,2,Masculino
2020-04-01,20 a 24 anos,18,Feminino
2020-04-01,20 a 24 anos,8,Masculino
2020-04-01,25 a 29 anos,16,Feminino
2020-04-01,25 a 29 anos,17,Masculino
2020-04-01,30 a 34 anos,31,Feminino
2020-04-01,30 a 34 anos,27,Masculino
2020-04-01,35 a 39 anos,34,Feminino
2020-04-01,35 a 39 anos,40,Masculino
2020-04-01,40 a 44 anos,35,Masculino
2020-04-01,40 a 44 anos,26,Feminino
2020-04-01,45 a 49 anos,20,Feminino
2020-04-01,45 a 49 anos,32,Masculino
2020-04-01,50 a 54 anos,18,Feminino
2020-04-01,50 a 54 anos,33,Masculino
2020-04-01,55 a 59 anos,25,Masculino
2020-04-01,55 a 59 anos,21,Feminino
2020-04-01,60 a 64 anos,18,Feminino
2020-04-01,60 a 64 anos,23,Masculino
2020-04-01,65 a 69 anos,14,Feminino
2020-04-01,65 a 69 anos,12,Masculino
2020-04-01,70 a 74 anos,6,Feminino
2020-04-01,70 a 74 anos,10,Masculino
2020-04-01,75 a 79 anos,3,Feminino
2020-04-01,75 a 79 anos,7,Masculino
2020-04-01,80 anos ou mais,9,Feminino
2020-04-01,80 anos ou mais,6,Masculino
2020-04-01,Indefinido,1,Feminino
2020-04-01,Indefinido,3,Masculino
2020-04-02,0 a 4 anos,3,Masculino
2020-04-02,0 a 4 anos,4,Feminino
2020-04-02,5 a 9 anos,2,Masculino
2020-04-02,5 a 9 anos,3,Feminino
2020-04-02,10 a 14 anos,1,Feminino
2020-04-02,10 a 14 anos,1,Masculino
2020-04-02,15 a 19 anos,5,Feminino
2020-04-02,15 a 19 anos,3,Masculino
2020-04-02,20 a 24 anos,20,Feminino
2020-04-02,20 a 24 anos,12,Masculino
2020-04-02,25 a 29 anos,31,Feminino
2020-04-02,25 a 29 anos,21,Masculino
2020-04-02,30 a 34 anos,38,Feminino
2020-04-02,30 a 34 anos,38,Masculino
2020-04-02,35 a 39 anos,40,Feminino
2020-04-02,35 a 39 anos,53,Masculino
2020-04-02,40 a 44 anos,41,Masculino
2020-04-02,40 a 44 anos,37,Feminino
2020-04-02,45 a 49 anos,27,Feminino
2020-04-02,45 a 49 anos,38,Masculino
2020-04-02,50 a 54 anos,21,Feminino
2020-04-02,50 a 54 anos,34,Masculino
2020-04-02,55 a 59 anos,30,Masculino
2020-04-02,55 a 59 anos,25,Feminino
2020-04-02,60 a 64 anos,20,Feminino
2020-04-02,60 a 64 anos,25,Masculino
2020-04-02,65 a 69 anos,15,Feminino
2020-04-02,65 a 69 anos,13,Masculino
2020-04-02,70 a 74 anos,11,Feminino
2020-04-02,70 a 74 anos,11,Masculino
2020-04-02,75 a 79 anos,4,Feminino
2020-04-02,75 a 79 anos,7,Masculino
2020-04-02,80 anos ou mais,10,Feminino
2020-04-02,80 anos ou mais,11,Masculino
2020-04-02,Indefinido,3,Feminino
